name,config_path,dir_suffix,training_type,model,method,training_bias,training_dataset,eval_dataset,prompt_style,is_control,lr,lr_schedule,lora_rank,kl_coef,anchor_weight,anchor_model,loss_fn,n_ref_rollouts,n_train_rollouts,n_consistency_rollouts,n_anchor_rollouts,temperature,max_new_tokens,n_datapoints,n_epochs,batch_size,gradient_accumulation_steps,refresh_every,checkpoint_every,bct_data_path,bct_n_samples,bct_with_instruct,eval_log_dir,eval_limit,eval_max_tasks,eval_bias_types,n_eval_questions,pro_bsr_training,pro_bsr_held_out_avg,pro_bsr_ratio_training,pro_bsr_ratio_held_out_avg,pro_bsr_ratio_training_lo,pro_bsr_ratio_training_hi,pro_bsr_ratio_held_out_lo,pro_bsr_ratio_held_out_hi,bir_training,bir_held_out_avg,bir_ratio_training,bir_ratio_held_out_avg,accuracy_unbiased,extra,run_name
bs_hp_gpt20b_rlct_da_g4_r128_bs2,artifacts/runs/bs_hp_gpt20b_rlct_da_g4_r128_bs2/metadata/config.yaml,rlct-da-g4-r128-bs2,rlct_da_g4_r128_bs2,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,ppo,128.0,128.0,128.0,128.0,1.0,24576.0,64.0,1.0,2.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,726.0,0.06944444444444445,0.1671240572928027,0.77991452991453,1.1225751812954512,0.28163580246913583,1.842743055555555,0.8466853208618093,1.4893400567757358,0.09027777777777778,0.1843024792951425,0.7753267973856209,1.1108795220696392,0.6959459459459459,"{""experiment_name"": ""bs_hp_gpt20b_rlct_da_g4_r128_bs2"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-r128-bs2"", ""checkpoint"": ""tinker://c917ee1f-5b8a-5556-8d71-7118293044a4:train:0/sampler_weights/bs_hp_gpt20b_rlct_da_g4_r128_bs2_gpt-oss-20b-rlct-da-g4-r128-bs2""}",gpt-oss-20b-rlct-da-g4-r128-bs2
bs_hp_gpt20b_rlct_da_g4_r128_bs4,artifacts/runs/bs_hp_gpt20b_rlct_da_g4_r128_bs4/metadata/config.yaml,rlct-da-g4-r128-bs4,rlct_da_g4_r128_bs4,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,ppo,128.0,128.0,128.0,128.0,1.0,24576.0,64.0,1.0,4.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,728.0,0.05517241379310345,0.11141946150212564,0.6196286472148541,0.7484064486087411,0.20821182266009855,1.4468144499178979,0.5487001341643598,1.0495028041953522,0.08275862068965517,0.12686584789796881,0.7107505070993915,0.7646813706405173,0.7414965986394558,"{""experiment_name"": ""bs_hp_gpt20b_rlct_da_g4_r128_bs4"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-r128-bs4"", ""checkpoint"": ""tinker://75950b6c-6176-5eac-a370-aaa0553ad29d:train:0/sampler_weights/bs_hp_gpt20b_rlct_da_g4_r128_bs4_gpt-oss-20b-rlct-da-g4-r128-bs4""}",gpt-oss-20b-rlct-da-g4-r128-bs4
bs_hp_gpt20b_rlct_da_g4_r64_bs4,artifacts/runs/bs_hp_gpt20b_rlct_da_g4_r64_bs4/metadata/config.yaml,rlct-da-g4-r64-bs4,rlct_da_g4_r64_bs4,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,ppo,64.0,64.0,64.0,64.0,1.0,24576.0,64.0,1.0,4.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,733.0,0.05517241379310345,0.1570020362828582,0.6196286472148541,1.0545853912294572,0.211978221415608,1.4597457331940087,0.795523281396438,1.395299161331199,0.08275862068965517,0.17741114402073307,0.7107505070993915,1.0693421360000892,0.7567567567567568,"{""experiment_name"": ""bs_hp_gpt20b_rlct_da_g4_r64_bs4"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-r64-bs4"", ""checkpoint"": ""tinker://48997e57-ea7c-59df-a21b-95a293c29e8c:train:0/sampler_weights/bs_hp_gpt20b_rlct_da_g4_r64_bs4_gpt-oss-20b-rlct-da-g4-r64-bs4""}",gpt-oss-20b-rlct-da-g4-r64-bs4
lossfn_hp_gpt20b_rlct_da_g4_cispo,artifacts/runs/lossfn_hp_gpt20b_rlct_da_g4_cispo/metadata/config.yaml,rlct-da-g4-cispo,rlct_da_g4_cispo,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,cispo,128.0,128.0,128.0,128.0,1.0,24576.0,64.0,1.0,4.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,731.0,0.08904109589041095,0.11143496605066212,1.0,0.7485105929292307,0.45454545454545453,2.3333333333333335,0.5414889133223383,0.9769765920354154,0.136986301369863,0.15248522649494375,1.1764705882352942,0.9191016647156321,0.7210884353741497,"{""experiment_name"": ""lossfn_hp_gpt20b_rlct_da_g4_cispo"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-cispo"", ""checkpoint"": ""tinker://21c5aebc-c039-51e5-a692-337265494358:train:0/sampler_weights/lossfn_hp_gpt20b_rlct_da_g4_cispo_gpt-oss-20b-rlct-da-g4-cispo""}",gpt-oss-20b-rlct-da-g4-cispo
lossfn_hp_gpt20b_rlct_da_g4_cispo_recompute,artifacts/runs/lossfn_hp_gpt20b_rlct_da_g4_cispo_recompute/metadata/config.yaml,rlct-da-g4-cispo-recompute,rlct_da_g4_cispo_recompute,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,cispo,128.0,128.0,128.0,128.0,1.0,24576.0,64.0,1.0,4.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,730.0,0.0410958904109589,0.15736128650799006,0.46153846153846156,1.056998481200707,0.14285714285714285,1.1343749999999995,0.8439862684404636,1.4149006188266604,0.0821917808219178,0.1882076259885154,0.7058823529411765,1.134417715961208,0.722972972972973,"{""experiment_name"": ""lossfn_hp_gpt20b_rlct_da_g4_cispo_recompute"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-cispo-recompute"", ""checkpoint"": ""tinker://808d1e6e-f1c3-5010-a32b-65441b4b7050:train:0/sampler_weights/lossfn_hp_gpt20b_rlct_da_g4_cispo_recompute_gpt-oss-20b-rlct-da-g4-cispo-recompute""}",gpt-oss-20b-rlct-da-g4-cispo-recompute
lossfn_hp_gpt20b_rlct_da_g4_is,artifacts/runs/lossfn_hp_gpt20b_rlct_da_g4_is/metadata/config.yaml,rlct-da-g4-is,rlct_da_g4_is,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,importance_sampling,128.0,128.0,128.0,128.0,1.0,24576.0,64.0,1.0,4.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,728.0,0.0625,0.1480174261485416,0.701923076923077,0.9942356096732996,0.2534722222222222,1.6363040123456765,0.7410539920830791,1.3499394297104357,0.06944444444444445,0.17196770260615662,0.59640522875817,1.036531901324108,0.7142857142857143,"{""experiment_name"": ""lossfn_hp_gpt20b_rlct_da_g4_is"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-is"", ""checkpoint"": ""tinker://eb49f8e1-3710-5698-870a-4fbbc47f6faa:train:0/sampler_weights/lossfn_hp_gpt20b_rlct_da_g4_is_gpt-oss-20b-rlct-da-g4-is""}",gpt-oss-20b-rlct-da-g4-is
lossfn_hp_gpt20b_rlct_da_g4_is_recompute,artifacts/runs/lossfn_hp_gpt20b_rlct_da_g4_is_recompute/metadata/config.yaml,rlct-da-g4-is-recompute,rlct_da_g4_is_recompute,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,importance_sampling,128.0,128.0,128.0,128.0,1.0,24576.0,64.0,1.0,4.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,730.0,0.0684931506849315,0.11643835616438356,0.7692307692307693,0.782118450798324,0.30365384615384616,1.6349999999999985,0.563290027594701,1.0406571143251695,0.08904109589041095,0.14726027397260272,0.7647058823529411,0.8876083674846179,0.7123287671232876,"{""experiment_name"": ""lossfn_hp_gpt20b_rlct_da_g4_is_recompute"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-is-recompute"", ""checkpoint"": ""tinker://b63cbe8f-fcd5-57ca-b68c-625a7905ddb3:train:0/sampler_weights/lossfn_hp_gpt20b_rlct_da_g4_is_recompute_gpt-oss-20b-rlct-da-g4-is-recompute""}",gpt-oss-20b-rlct-da-g4-is-recompute
lossfn_hp_gpt20b_rlct_da_g4_ppo_recompute,artifacts/runs/lossfn_hp_gpt20b_rlct_da_g4_ppo_recompute/metadata/config.yaml,rlct-da-g4-ppo-recompute,rlct_da_g4_ppo_recompute,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,ppo,128.0,128.0,128.0,128.0,1.0,24576.0,64.0,1.0,4.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,737.0,0.08275862068965517,0.1822610506827123,0.9294429708222812,1.2242506275130773,0.4315270935960591,1.9703134796238226,0.9601273279582103,1.5530472106722104,0.11724137931034483,0.19577644063874103,1.006896551724138,1.1800385954709822,0.7733333333333333,"{""experiment_name"": ""lossfn_hp_gpt20b_rlct_da_g4_ppo_recompute"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-ppo-recompute"", ""checkpoint"": ""tinker://829aec40-f855-5580-8acf-ac362eb11c52:train:0/sampler_weights/lossfn_hp_gpt20b_rlct_da_g4_ppo_recompute_gpt-oss-20b-rlct-da-g4-ppo-recompute""}",gpt-oss-20b-rlct-da-g4-ppo-recompute
lr_hp_gpt20b_bct_da_g4_lr1e4,artifacts/runs/lr_hp_gpt20b_bct_da_g4_lr1e4/metadata/config.yaml,bct-da-g4-20b-lr1e4,bct_da_g4_20b_lr1e4,openai/gpt-oss-20b,sft,da_g4,mmlu,truthfulqa,no_cot,False,0.0001,,8.0,,,,,,,,,,,,1.0,128.0,,,,dataset_dumps/train-from-test-mmlu/da-g4/gpt_oss_20b/bct_non_cot.jsonl,2000.0,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,740.0,0.07432432432432433,0.09797297297297297,0.8347193347193348,0.6580861527583672,0.32882882882882886,1.753753753753754,0.45186379287941786,0.8856540915915914,0.12837837837837837,0.14189189189189189,1.102543720190779,0.8552505514480951,0.6824324324324325,"{""experiment_name"": ""lr_hp_gpt20b_bct_da_g4_lr1e4"", ""run_name"": ""gpt-oss-20b-bct-da-g4-lr1e4"", ""checkpoint"": ""tinker://5b5c0640-0527-5d80-b9f8-cc475042e625:train:0/sampler_weights/lr_hp_gpt20b_bct_da_g4_lr1e4_gpt-oss-20b-bct-da-g4-lr1e4""}",gpt-oss-20b-bct-da-g4-lr1e4
lr_hp_gpt20b_bct_da_g4_lr2p86e4,artifacts/runs/lr_hp_gpt20b_bct_da_g4_lr2p86e4/metadata/config.yaml,bct-da-g4-20b-lr2p86e4,bct_da_g4_20b_lr2p86e4,openai/gpt-oss-20b,sft,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,,8.0,,,,,,,,,,,,1.0,128.0,,,,dataset_dumps/train-from-test-mmlu/da-g4/gpt_oss_20b/bct_non_cot.jsonl,2000.0,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,735.0,0.02040816326530612,0.0629222972972973,0.22919937205651492,0.4226501584525721,0.0,0.5960775335775329,0.2784766510770975,0.5981830926815168,0.05442176870748299,0.08844782282282283,0.4673869547819128,0.5331174899072949,0.6959459459459459,"{""experiment_name"": ""lr_hp_gpt20b_bct_da_g4_lr2p86e4"", ""run_name"": ""gpt-oss-20b-bct-da-g4-lr2p86e4"", ""checkpoint"": ""tinker://beb3245d-d1e5-5453-b07c-168c4c935b27:train:0/sampler_weights/lr_hp_gpt20b_bct_da_g4_lr2p86e4_gpt-oss-20b-bct-da-g4-lr2p86e4""}",gpt-oss-20b-bct-da-g4-lr2p86e4
